               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084962,            0.019963,            0.038929,            0.093441,             0.11743,             0.02756,           0.0080607,             0.07331,           0.0096181,            0.045223,            0.070106,           0.0033215,           0.0033215
                   1,            0.062274,            0.015168,             0.01561,              0.8506,             0.19542,             0.21681,             0.12825,             0.05101,           0.0069777,            0.014295,            0.039942,           0.0064901,           0.0064901
                   2,            0.055257,            0.012214,            0.010707,             0.85035,             0.28308,             0.30966,             0.18589,            0.044354,           0.0065026,            0.010804,            0.009612,           0.0094938,           0.0094938
                   3,            0.048224,            0.010747,           0.0091009,             0.73299,             0.30259,             0.32719,             0.18958,            0.039883,           0.0055716,           0.0092089,           0.0092575,           0.0092575,           0.0092575
                   4,            0.043301,            0.010192,           0.0073896,              0.7411,             0.41909,             0.40931,             0.22645,            0.037966,           0.0070764,           0.0070398,           0.0092575,           0.0092575,           0.0092575
                   5,            0.039713,           0.0094556,           0.0065106,             0.71329,             0.51244,               0.466,             0.26255,            0.033347,           0.0051804,           0.0055328,             0.00901,             0.00901,             0.00901
                   6,            0.037702,           0.0091558,           0.0062292,             0.86074,             0.47921,             0.49232,             0.28137,            0.032694,           0.0052941,           0.0055423,           0.0087625,           0.0087625,           0.0087625
                   7,            0.035747,           0.0087336,            0.005846,             0.82208,             0.49277,             0.52408,              0.2899,            0.031054,           0.0048409,           0.0051763,            0.008515,            0.008515,            0.008515
                   8,            0.034145,           0.0084194,           0.0055444,             0.88955,             0.48031,             0.52076,             0.30802,            0.031693,           0.0047307,           0.0051923,           0.0082675,           0.0082675,           0.0082675
                   9,             0.03262,            0.008189,           0.0051132,             0.78869,             0.48749,             0.59509,              0.3483,            0.030795,           0.0046319,           0.0054676,             0.00802,             0.00802,             0.00802
                  10,            0.031689,            0.008073,           0.0048105,             0.83206,              0.4848,             0.58174,             0.34269,            0.030004,            0.004615,            0.004283,           0.0077725,           0.0077725,           0.0077725
                  11,            0.030838,           0.0078896,           0.0048083,             0.89318,             0.50642,             0.58697,              0.3702,            0.027606,           0.0044409,           0.0047065,            0.007525,            0.007525,            0.007525
                  12,            0.029933,           0.0078612,           0.0046217,             0.90792,             0.50494,              0.5914,              0.3623,            0.026688,           0.0043956,           0.0042591,           0.0072775,           0.0072775,           0.0072775
                  13,            0.029233,           0.0076657,           0.0043216,             0.92914,             0.50209,             0.66781,             0.41833,            0.025608,           0.0042657,           0.0041704,             0.00703,             0.00703,             0.00703
